Generation,MaxFitness,SurvivedCount
0,1.77778,279.00000
1,2.25000,295.00000
2,4.00000,324.00000
3,4.84000,338.00000
4,5.06250,320.00000
5,5.44444,335.00000
6,6.25000,308.00000
7,9.00000,317.00000
8,16.00000,337.00000
9,18.77778,321.00000
10,20.25000,315.00000
11,25.00000,329.00000
12,25.00000,313.00000
13,25.00000,262.00000
14,25.00000,269.00000
15,25.00000,247.00000
16,27.04000,234.00000
17,27.04000,262.00000
18,27.56250,280.00000
19,30.25000,264.00000
20,28.44444,289.00000
21,28.44444,273.00000
22,28.44444,309.00000
23,28.44444,287.00000
24,28.44444,259.00000
25,30.25000,266.00000
26,30.25000,278.00000
27,30.25000,258.00000
28,36.00000,257.00000
29,36.00000,259.00000
30,38.02778,265.00000
31,38.02778,261.00000
32,38.44000,259.00000
33,40.11111,284.00000
34,39.06250,294.00000
35,42.25000,292.00000
36,49.00000,293.00000
37,49.00000,284.00000
38,49.00000,266.00000
39,50.08284,273.00000
40,50.08284,248.00000
41,50.28099,285.00000
42,50.41000,247.00000
43,50.28099,264.00000
44,50.17361,264.00000
45,50.28099,225.00000
46,50.28099,206.00000
47,50.41000,209.00000
48,50.28099,222.00000
49,50.28099,191.00000
50,50.41000,187.00000
51,50.41000,202.00000
52,50.41000,181.00000
53,50.56790,210.00000
54,50.28099,177.00000
55,50.41000,202.00000
56,50.41000,206.00000
57,50.41000,175.00000
58,50.28099,205.00000
59,50.28099,167.00000
60,50.41000,175.00000
61,50.28099,182.00000
62,50.17361,192.00000
63,50.41000,188.00000
64,50.28099,166.00000
65,50.28099,155.00000
66,50.28099,192.00000
67,50.41000,202.00000
68,50.41000,217.00000
69,50.28099,203.00000
70,50.41000,176.00000
71,50.28099,207.00000
72,50.28099,217.00000
73,50.41000,215.00000
74,50.28099,219.00000
75,50.17361,199.00000
76,50.28099,195.00000
77,50.28099,235.00000
78,50.28099,226.00000
79,50.41000,210.00000
80,50.28099,209.00000
81,50.28099,200.00000
82,50.28099,208.00000
83,50.28099,231.00000
84,50.28099,196.00000
85,50.28099,217.00000
86,50.41000,192.00000
87,50.28099,203.00000
88,50.28099,202.00000
89,50.28099,194.00000
90,50.41000,162.00000
91,50.56790,178.00000
92,50.28099,199.00000
93,50.41000,182.00000
94,50.28099,162.00000
95,50.41000,154.00000
96,50.41000,179.00000
97,50.41000,174.00000
98,50.56790,178.00000
99,50.56790,209.00000
100,50.56790,242.00000
101,50.76563,259.00000
102,51.36111,244.00000
103,51.36111,268.00000
104,51.36111,270.00000
105,51.84000,274.00000
106,52.56250,263.00000
107,53.77778,276.00000
108,53.77778,305.00000
109,53.77778,332.00000
110,56.25000,335.00000
111,56.25000,345.00000
112,64.00000,331.00000
113,66.30612,307.00000
114,66.69444,302.00000
115,67.24000,302.00000
116,68.06250,311.00000
117,68.06250,295.00000
118,69.44444,271.00000
119,68.06250,285.00000
120,68.06250,262.00000
121,67.24000,280.00000
122,69.44444,275.00000
123,69.44444,291.00000
124,69.44444,266.00000
125,72.25000,264.00000
126,72.25000,259.00000
127,69.44444,249.00000
128,72.25000,242.00000
129,72.25000,235.00000
130,81.00000,244.00000
131,81.00000,232.00000
132,81.00000,248.00000
133,81.00000,254.00000
134,83.26563,255.00000
135,83.26563,266.00000
136,83.59184,258.00000
137,84.02778,266.00000
138,83.59184,277.00000
139,84.02778,264.00000
140,84.02778,254.00000
141,84.02778,258.00000
142,83.59184,211.00000
143,84.02778,235.00000
144,85.56250,209.00000
145,83.26563,264.00000
146,84.02778,258.00000
147,83.26563,237.00000
148,83.59184,236.00000
149,84.64000,230.00000
150,83.59184,287.00000
151,83.59184,269.00000
152,84.02778,237.00000
153,84.02778,238.00000
154,83.59184,207.00000
155,83.59184,218.00000
156,83.59184,241.00000
157,83.26563,251.00000
158,83.59184,260.00000
159,83.26563,259.00000
160,82.64463,242.00000
161,82.81000,241.00000
162,82.81000,271.00000
163,83.01235,265.00000
164,82.64463,275.00000
165,82.81000,254.00000
166,82.81000,260.00000
167,82.64463,271.00000
168,82.81000,240.00000
169,82.64463,274.00000
170,82.64463,267.00000
171,82.64463,294.00000
172,83.01235,275.00000
173,82.64463,266.00000
174,83.01235,246.00000
175,82.81000,233.00000
176,83.01235,214.00000
177,83.01235,236.00000
178,83.01235,215.00000
179,83.26563,221.00000
180,83.59184,220.00000
181,83.59184,221.00000
182,84.64000,224.00000
183,84.02778,227.00000
184,84.64000,224.00000
185,84.64000,250.00000
186,84.64000,266.00000
187,85.56250,263.00000
188,87.11111,276.00000
189,87.11111,271.00000
190,90.25000,254.00000
191,90.25000,288.00000
192,100.00000,266.00000
193,100.00000,266.00000
194,100.00000,305.00000
195,100.00000,308.00000
196,100.00000,314.00000
197,101.67361,314.00000
198,101.67361,314.00000
199,101.82645,303.00000
200,102.01000,288.00000
201,102.01000,246.00000
202,102.23457,207.00000
203,102.01000,225.00000
204,102.23457,239.00000
205,102.51563,234.00000
206,102.01000,254.00000
207,102.23457,231.00000
208,102.23457,238.00000
209,102.23457,262.00000
210,102.51563,249.00000
211,102.51563,232.00000
212,102.51563,213.00000
213,102.23457,270.00000
214,102.87755,269.00000
215,102.87755,269.00000
216,102.23457,336.00000
217,102.51563,328.00000
